SAP,Alias,Direccion,RUC,Ciudad
GRD004 PATIO QUITO SANGOLQUI,QUITO - SANGOLQUI,(AVDA. LOS SHIRYS N100 Y ALTAR,0190157075001,QUITO - SANGOLQUI
GRD019 PATIO MACHALA JETOUR,PATIO MACHALA JETOUR,AV. 25 DE JUNIO S/N Y ALEJANDRO CASTRO B,0190401030001,MACHALA
GRD018 PATIO GUAYAQUIL LAS AMERICAS,PATIO GUAYAQUIL LAS AMERICAS,AV. DE LAS AMERICAS Y EL TERMINAL 2,0190391906001,GUAYAQUIL
GRD005 PATIO IBARRA,PATIO IBARRA,VIA A IBARRA Y ATUNTAQUI,0190401030001,IBARRA  
GRD002 MATRIZ CUENCA,CUENCA MATRIZ,Av España 8-99 y Sevilla,0190316025001,CUENCA
GRD017 PATIO CUENCA LAZARETO,PATIO CUENCA LAZARETO,VIA SININCAY S/N,0190457354001,CUENCA
GRD030 PATIO 12 DE OCTUBRE,PATIO 12 DE OCTUBRE,12 DE OCTUBRE Y CRISTOBAL COLON,0190391906001,CUENCA
GRD052 PATIO GUAYAQUIL JTM,PATIO GUAYAQUIL JTM,AV JUAN TANCA MARENGO,0190401030001,GUAYAQUIL
GRD031 PATIO TUMBACO,PATIO QUITO TUMBACO,AV. INTEROCEANICA S/N Y NORBETO SALAZAR,0190316025001,QUITO-TUMBACO
GRD002 MATRIZ CUENCA,MATRIZ CUENCA,Av España 8-99 y Sevilla,0190157075001,CUENCA
GRD002 MATRIZ CUENCA,CUENCA MATRIZ,(AVDA. ESPAÑA 899 Y SEVILLA),0190157075001,CUENCA
GRD031 PATIO TUMBACO,PATIO  QUITO TUMBACO,INTEROCEANICA S/N Y NORBERTO SALAZAR,0190391906001,QUITO-TUMBACO
GRD012 PATIO GUAYAQUIL JTM,PATIO GUAYAQUIL JTM,AV JUAN TANCA MARENGO,0190391906001,GUAYAQUIL
GRD055 PATIO SAMBORONDON,PATIO SAMBORONDON EL PAN SHOWROOM,AV. MIGUEL YUNEZ SN Y KM. 14.5,0190391906001,SAMBORONDON - EL PAN
GRD016 PATIO SAMBORONDON,PATIO SAMBORONDON EL PAN SHOWROOM,AV. MIGUEL YUNEZ SN Y KM. 14.5,0190316025001,SAMBORONDON - EL PAN
GRD048 PATIO PDI MANTA,PATIO PDI MANTA, (VIA CIRCUNVALACION TRAMO 3 Y TRAMO Y,0190382796001,MANTA
GRD027 CM MATRIZ,CUENCA MATRIZ,Av España 9-10,0190428338001,CUENCA
GRD006 PATIO QUITO 6 DE DICIEMBRE,PATIO QUITO 6 DE DICIEMBRE, (AV 6 DE DICIEMBRE Y GALO PLAZA LAZO,0190401030001,QUITO
GRD054 PATIO CUENCA YANUNCAY CONTROL SUR,PATIO CUENCA YANUNCAY CONTROL SUR,JUAN LARREA GUERRERO,0190168905001,CUENCA
GRD004 PATIO QUITO SANGOLQUI,PATIO QUITO SANGOLQUI,(AV LOS SHIRYS Y VIA AMAGUANA LOTE NRO 2,0190316025001,QUITO - SANGOLQUI
GRD038 PATIO RIOBAMBA,PATIO RIOBAMBA,PANAMERICANA NORTE ESQ BOLIVAR SN LIZARZABURU,0190316025001,RIOBAMBA
GRD038 PATIO RIOBAMBA,PATIO RIOBAMBA,PANAMERICANA NORTE ESQ BOLIVAR SN LIZARZABURU,0190391906001,RIOBAMBA
GRD003 PATIO2 CUENCA,PATIO 2 CUENCA,Av España y Segovia frente a SECOHI,0190391906001,CUENCA
GRD022 PATIO MACHALA,PATIO MACHALA,AV. 25 DE JUNIO S/N Y VIA A PASAJE),0190413993001,MACHALA
GRD051 PATIO GUAYAQUIL JTM,PATIO GUAYAQUIL JTM,AV JUAN TANCA MARENGO,0190316025001,GUAYAQUIL
